,name,group_order,prd_tuples
308,A_2^3+B_5^1,40,"[(2, 3, 1), (5, 1, 2)]"
309,B_2^3+B_5^1,40,"[(2, 3, 2), (5, 1, 2)]"
310,C_2^3+B_5^1,40,"[(2, 3, 3), (5, 1, 2)]"
311,D_2^3+B_5^1,40,"[(2, 3, 4), (5, 1, 2)]"
312,A_2^2+A_2^1+A_5^1,40,"[(2, 2, 1), (2, 1, 1), (5, 1, 1)]"
313,B_2^2+A_2^1+A_5^1,40,"[(2, 2, 2), (2, 1, 1), (5, 1, 1)]"
314,C_2^2+A_2^1+A_5^1,40,"[(2, 2, 3), (2, 1, 1), (5, 1, 1)]"
315,D_2^2+A_2^1+A_5^1,40,"[(2, 2, 4), (2, 1, 1), (5, 1, 1)]"
316,A_2^2+A_2^1+B_5^1,40,"[(2, 2, 1), (2, 1, 1), (5, 1, 2)]"
317,B_2^2+A_2^1+B_5^1,40,"[(2, 2, 2), (2, 1, 1), (5, 1, 2)]"
318,C_2^2+A_2^1+B_5^1,40,"[(2, 2, 3), (2, 1, 1), (5, 1, 2)]"
319,D_2^2+A_2^1+B_5^1,40,"[(2, 2, 4), (2, 1, 1), (5, 1, 2)]"
320,A_2^1+A_2^1+A_2^1+A_5^1,40,"[(2, 1, 1), (2, 1, 1), (2, 1, 1), (5, 1, 1)]"
321,A_2^1+A_2^1+B_2^1+A_5^1,40,"[(2, 1, 1), (2, 1, 1), (2, 1, 2), (5, 1, 1)]"
322,A_2^1+B_2^1+B_2^1+A_5^1,40,"[(2, 1, 1), (2, 1, 2), (2, 1, 2), (5, 1, 1)]"
323,B_2^1+B_2^1+B_2^1+A_5^1,40,"[(2, 1, 2), (2, 1, 2), (2, 1, 2), (5, 1, 1)]"
324,A_2^1+A_2^1+A_2^1+B_5^1,40,"[(2, 1, 1), (2, 1, 1), (2, 1, 1), (5, 1, 2)]"
325,A_2^1+A_2^1+B_2^1+B_5^1,40,"[(2, 1, 1), (2, 1, 1), (2, 1, 2), (5, 1, 2)]"
326,A_2^1+B_2^1+B_2^1+B_5^1,40,"[(2, 1, 1), (2, 1, 2), (2, 1, 2), (5, 1, 2)]"
327,B_2^1+B_2^1+B_2^1+B_5^1,40,"[(2, 1, 2), (2, 1, 2), (2, 1, 2), (5, 1, 2)]"
328,A_41^1,41,"[(41, 1, 1)]"
329,B_41^1,41,"[(41, 1, 2)]"
330,A_2^1+A_3^1+A_7^1,42,"[(2, 1, 1), (3, 1, 1), (7, 1, 1)]"
331,B_2^1+A_3^1+A_7^1,42,"[(2, 1, 2), (3, 1, 1), (7, 1, 1)]"
332,A_2^1+B_3^1+A_7^1,42,"[(2, 1, 1), (3, 1, 2), (7, 1, 1)]"
333,B_2^1+B_3^1+A_7^1,42,"[(2, 1, 2), (3, 1, 2), (7, 1, 1)]"
334,A_2^1+A_3^1+B_7^1,42,"[(2, 1, 1), (3, 1, 1), (7, 1, 2)]"
335,B_2^1+A_3^1+B_7^1,42,"[(2, 1, 2), (3, 1, 1), (7, 1, 2)]"
336,A_2^1+B_3^1+B_7^1,42,"[(2, 1, 1), (3, 1, 2), (7, 1, 2)]"
337,B_2^1+B_3^1+B_7^1,42,"[(2, 1, 2), (3, 1, 2), (7, 1, 2)]"
338,A_43^1,43,"[(43, 1, 1)]"
339,B_43^1,43,"[(43, 1, 2)]"
340,A_2^2+A_11^1,44,"[(2, 2, 1), (11, 1, 1)]"
341,B_2^2+A_11^1,44,"[(2, 2, 2), (11, 1, 1)]"
342,C_2^2+A_11^1,44,"[(2, 2, 3), (11, 1, 1)]"
343,D_2^2+A_11^1,44,"[(2, 2, 4), (11, 1, 1)]"
344,A_2^2+B_11^1,44,"[(2, 2, 1), (11, 1, 2)]"
345,B_2^2+B_11^1,44,"[(2, 2, 2), (11, 1, 2)]"
346,C_2^2+B_11^1,44,"[(2, 2, 3), (11, 1, 2)]"
347,D_2^2+B_11^1,44,"[(2, 2, 4), (11, 1, 2)]"
348,A_2^1+A_2^1+A_11^1,44,"[(2, 1, 1), (2, 1, 1), (11, 1, 1)]"
349,A_2^1+B_2^1+A_11^1,44,"[(2, 1, 1), (2, 1, 2), (11, 1, 1)]"
350,B_2^1+B_2^1+A_11^1,44,"[(2, 1, 2), (2, 1, 2), (11, 1, 1)]"
351,E_2^1+A_11^1,44,"[(2, 1, 5), (11, 1, 1)]"
352,F_2^1+A_11^1,44,"[(2, 1, 6), (11, 1, 1)]"
353,A_2^1+A_2^1+B_11^1,44,"[(2, 1, 1), (2, 1, 1), (11, 1, 2)]"
354,A_2^1+B_2^1+B_11^1,44,"[(2, 1, 1), (2, 1, 2), (11, 1, 2)]"
355,B_2^1+B_2^1+B_11^1,44,"[(2, 1, 2), (2, 1, 2), (11, 1, 2)]"
356,E_2^1+B_11^1,44,"[(2, 1, 5), (11, 1, 2)]"
357,F_2^1+B_11^1,44,"[(2, 1, 6), (11, 1, 2)]"
358,A_3^2+A_5^1,45,"[(3, 2, 1), (5, 1, 1)]"
359,B_3^2+A_5^1,45,"[(3, 2, 2), (5, 1, 1)]"
360,A_3^2+B_5^1,45,"[(3, 2, 1), (5, 1, 2)]"
361,B_3^2+B_5^1,45,"[(3, 2, 2), (5, 1, 2)]"
362,A_3^1+A_3^1+A_5^1,45,"[(3, 1, 1), (3, 1, 1), (5, 1, 1)]"
363,A_3^1+A_3^1+B_5^1,45,"[(3, 1, 1), (3, 1, 1), (5, 1, 2)]"
364,A_2^1+A_23^1,46,"[(2, 1, 1), (23, 1, 1)]"
365,B_2^1+A_23^1,46,"[(2, 1, 2), (23, 1, 1)]"
366,A_2^1+B_23^1,46,"[(2, 1, 1), (23, 1, 2)]"
367,B_2^1+B_23^1,46,"[(2, 1, 2), (23, 1, 2)]"
368,A_47^1,47,"[(47, 1, 1)]"
369,B_47^1,47,"[(47, 1, 2)]"
370,A_2^4+A_3^1,48,"[(2, 4, 1), (3, 1, 1)]"
371,B_2^4+A_3^1,48,"[(2, 4, 2), (3, 1, 1)]"
372,C_2^4+A_3^1,48,"[(2, 4, 3), (3, 1, 1)]"
373,D_2^4+A_3^1,48,"[(2, 4, 4), (3, 1, 1)]"
374,A_2^4+B_3^1,48,"[(2, 4, 1), (3, 1, 2)]"
375,B_2^4+B_3^1,48,"[(2, 4, 2), (3, 1, 2)]"
376,C_2^4+B_3^1,48,"[(2, 4, 3), (3, 1, 2)]"
377,D_2^4+B_3^1,48,"[(2, 4, 4), (3, 1, 2)]"
378,A_2^3+A_2^1+A_3^1,48,"[(2, 3, 1), (2, 1, 1), (3, 1, 1)]"
379,B_2^3+A_2^1+A_3^1,48,"[(2, 3, 2), (2, 1, 1), (3, 1, 1)]"
380,A_2^3+B_2^1+A_3^1,48,"[(2, 3, 1), (2, 1, 2), (3, 1, 1)]"
381,B_2^3+B_2^1+A_3^1,48,"[(2, 3, 2), (2, 1, 2), (3, 1, 1)]"
382,A_2^3+A_2^1+B_3^1,48,"[(2, 3, 1), (2, 1, 1), (3, 1, 2)]"
383,B_2^3+A_2^1+B_3^1,48,"[(2, 3, 2), (2, 1, 1), (3, 1, 2)]"
384,A_2^3+B_2^1+B_3^1,48,"[(2, 3, 1), (2, 1, 2), (3, 1, 2)]"
385,B_2^3+B_2^1+B_3^1,48,"[(2, 3, 2), (2, 1, 2), (3, 1, 2)]"
386,A_2^2+A_2^2+A_3^1,48,"[(2, 2, 1), (2, 2, 1), (3, 1, 1)]"
387,A_2^2+B_2^2+A_3^1,48,"[(2, 2, 1), (2, 2, 2), (3, 1, 1)]"
388,B_2^2+B_2^2+A_3^1,48,"[(2, 2, 2), (2, 2, 2), (3, 1, 1)]"
389,A_2^2+C_2^2+A_3^1,48,"[(2, 2, 1), (2, 2, 3), (3, 1, 1)]"
390,B_2^2+C_2^2+A_3^1,48,"[(2, 2, 2), (2, 2, 3), (3, 1, 1)]"
391,B_2^2+D_2^2+A_3^1,48,"[(2, 2, 2), (2, 2, 4), (3, 1, 1)]"
392,E_2^2+A_3^1,48,"[(2, 2, 5), (3, 1, 1)]"
393,F_2^2+A_3^1,48,"[(2, 2, 6), (3, 1, 1)]"
394,A_2^2+A_2^2+B_3^1,48,"[(2, 2, 1), (2, 2, 1), (3, 1, 2)]"
395,A_2^2+B_2^2+B_3^1,48,"[(2, 2, 1), (2, 2, 2), (3, 1, 2)]"
396,B_2^2+B_2^2+B_3^1,48,"[(2, 2, 2), (2, 2, 2), (3, 1, 2)]"
397,A_2^2+C_2^2+B_3^1,48,"[(2, 2, 1), (2, 2, 3), (3, 1, 2)]"
398,B_2^2+C_2^2+B_3^1,48,"[(2, 2, 2), (2, 2, 3), (3, 1, 2)]"
399,B_2^2+D_2^2+B_3^1,48,"[(2, 2, 2), (2, 2, 4), (3, 1, 2)]"
400,E_2^2+B_3^1,48,"[(2, 2, 5), (3, 1, 2)]"
401,F_2^2+B_3^1,48,"[(2, 2, 6), (3, 1, 2)]"
402,A_2^2+A_2^1+A_2^1+A_3^1,48,"[(2, 2, 1), (2, 1, 1), (2, 1, 1), (3, 1, 1)]"
403,B_2^2+A_2^1+A_2^1+A_3^1,48,"[(2, 2, 2), (2, 1, 1), (2, 1, 1), (3, 1, 1)]"
404,C_2^2+A_2^1+A_2^1+A_3^1,48,"[(2, 2, 3), (2, 1, 1), (2, 1, 1), (3, 1, 1)]"
405,D_2^2+A_2^1+A_2^1+A_3^1,48,"[(2, 2, 4), (2, 1, 1), (2, 1, 1), (3, 1, 1)]"
406,A_2^2+E_2^1+A_3^1,48,"[(2, 2, 1), (2, 1, 5), (3, 1, 1)]"
407,B_2^2+E_2^1+A_3^1,48,"[(2, 2, 2), (2, 1, 5), (3, 1, 1)]"
408,C_2^2+E_2^1+A_3^1,48,"[(2, 2, 3), (2, 1, 5), (3, 1, 1)]"
409,D_2^2+E_2^1+A_3^1,48,"[(2, 2, 4), (2, 1, 5), (3, 1, 1)]"
410,A_2^2+A_2^1+A_2^1+B_3^1,48,"[(2, 2, 1), (2, 1, 1), (2, 1, 1), (3, 1, 2)]"
411,B_2^2+A_2^1+A_2^1+B_3^1,48,"[(2, 2, 2), (2, 1, 1), (2, 1, 1), (3, 1, 2)]"
412,C_2^2+A_2^1+A_2^1+B_3^1,48,"[(2, 2, 3), (2, 1, 1), (2, 1, 1), (3, 1, 2)]"
413,D_2^2+A_2^1+A_2^1+B_3^1,48,"[(2, 2, 4), (2, 1, 1), (2, 1, 1), (3, 1, 2)]"
414,A_2^2+E_2^1+B_3^1,48,"[(2, 2, 1), (2, 1, 5), (3, 1, 2)]"
415,B_2^2+E_2^1+B_3^1,48,"[(2, 2, 2), (2, 1, 5), (3, 1, 2)]"
416,C_2^2+E_2^1+B_3^1,48,"[(2, 2, 3), (2, 1, 5), (3, 1, 2)]"
417,D_2^2+E_2^1+B_3^1,48,"[(2, 2, 4), (2, 1, 5), (3, 1, 2)]"
418,A_2^1+A_2^1+A_2^1+A_2^1+A_3^1,48,"[(2, 1, 1), (2, 1, 1), (2, 1, 1), (2, 1, 1), (3, 1, 1)]"
419,A_2^1+A_2^1+A_2^1+B_2^1+A_3^1,48,"[(2, 1, 1), (2, 1, 1), (2, 1, 1), (2, 1, 2), (3, 1, 1)]"
420,A_2^1+A_2^1+B_2^1+B_2^1+A_3^1,48,"[(2, 1, 1), (2, 1, 1), (2, 1, 2), (2, 1, 2), (3, 1, 1)]"
421,A_2^1+B_2^1+B_2^1+B_2^1+A_3^1,48,"[(2, 1, 1), (2, 1, 2), (2, 1, 2), (2, 1, 2), (3, 1, 1)]"
422,E_2^1+E_2^1+A_3^1,48,"[(2, 1, 5), (2, 1, 5), (3, 1, 1)]"
423,E_2^1+F_2^1+A_3^1,48,"[(2, 1, 5), (2, 1, 6), (3, 1, 1)]"
424,A_2^1+A_2^1+A_2^1+A_2^1+B_3^1,48,"[(2, 1, 1), (2, 1, 1), (2, 1, 1), (2, 1, 1), (3, 1, 2)]"
425,A_2^1+A_2^1+A_2^1+B_2^1+B_3^1,48,"[(2, 1, 1), (2, 1, 1), (2, 1, 1), (2, 1, 2), (3, 1, 2)]"
426,A_2^1+A_2^1+B_2^1+B_2^1+B_3^1,48,"[(2, 1, 1), (2, 1, 1), (2, 1, 2), (2, 1, 2), (3, 1, 2)]"
427,A_2^1+B_2^1+B_2^1+B_2^1+B_3^1,48,"[(2, 1, 1), (2, 1, 2), (2, 1, 2), (2, 1, 2), (3, 1, 2)]"
428,E_2^1+E_2^1+B_3^1,48,"[(2, 1, 5), (2, 1, 5), (3, 1, 2)]"
429,E_2^1+F_2^1+B_3^1,48,"[(2, 1, 5), (2, 1, 6), (3, 1, 2)]"
430,A_7^2,49,"[(7, 2, 1)]"
431,B_7^2,49,"[(7, 2, 2)]"
432,A_7^1+A_7^1,49,"[(7, 1, 1), (7, 1, 1)]"
433,A_2^1+A_5^2,50,"[(2, 1, 1), (5, 2, 1)]"
434,B_2^1+A_5^2,50,"[(2, 1, 2), (5, 2, 1)]"
435,A_2^1+B_5^2,50,"[(2, 1, 1), (5, 2, 2)]"
436,B_2^1+B_5^2,50,"[(2, 1, 2), (5, 2, 2)]"
437,A_2^1+A_5^1+A_5^1,50,"[(2, 1, 1), (5, 1, 1), (5, 1, 1)]"
438,B_2^1+A_5^1+A_5^1,50,"[(2, 1, 2), (5, 1, 1), (5, 1, 1)]"
439,A_3^1+A_17^1,51,"[(3, 1, 1), (17, 1, 1)]"
440,B_3^1+A_17^1,51,"[(3, 1, 2), (17, 1, 1)]"
441,A_3^1+B_17^1,51,"[(3, 1, 1), (17, 1, 2)]"
442,B_3^1+B_17^1,51,"[(3, 1, 2), (17, 1, 2)]"
443,A_2^2+A_13^1,52,"[(2, 2, 1), (13, 1, 1)]"
444,B_2^2+A_13^1,52,"[(2, 2, 2), (13, 1, 1)]"
445,C_2^2+A_13^1,52,"[(2, 2, 3), (13, 1, 1)]"
446,D_2^2+A_13^1,52,"[(2, 2, 4), (13, 1, 1)]"
447,A_2^2+B_13^1,52,"[(2, 2, 1), (13, 1, 2)]"
448,B_2^2+B_13^1,52,"[(2, 2, 2), (13, 1, 2)]"
449,C_2^2+B_13^1,52,"[(2, 2, 3), (13, 1, 2)]"
450,D_2^2+B_13^1,52,"[(2, 2, 4), (13, 1, 2)]"
451,A_2^1+A_2^1+A_13^1,52,"[(2, 1, 1), (2, 1, 1), (13, 1, 1)]"
452,A_2^1+B_2^1+A_13^1,52,"[(2, 1, 1), (2, 1, 2), (13, 1, 1)]"
453,B_2^1+B_2^1+A_13^1,52,"[(2, 1, 2), (2, 1, 2), (13, 1, 1)]"
454,E_2^1+A_13^1,52,"[(2, 1, 5), (13, 1, 1)]"
455,F_2^1+A_13^1,52,"[(2, 1, 6), (13, 1, 1)]"
456,A_2^1+A_2^1+B_13^1,52,"[(2, 1, 1), (2, 1, 1), (13, 1, 2)]"
457,A_2^1+B_2^1+B_13^1,52,"[(2, 1, 1), (2, 1, 2), (13, 1, 2)]"
458,B_2^1+B_2^1+B_13^1,52,"[(2, 1, 2), (2, 1, 2), (13, 1, 2)]"
459,E_2^1+B_13^1,52,"[(2, 1, 5), (13, 1, 2)]"
460,F_2^1+B_13^1,52,"[(2, 1, 6), (13, 1, 2)]"
461,A_53^1,53,"[(53, 1, 1)]"
462,B_53^1,53,"[(53, 1, 2)]"
463,A_2^1+A_3^3,54,"[(2, 1, 1), (3, 3, 1)]"
464,B_2^1+A_3^3,54,"[(2, 1, 2), (3, 3, 1)]"
465,A_2^1+B_3^3,54,"[(2, 1, 1), (3, 3, 2)]"
466,B_2^1+B_3^3,54,"[(2, 1, 2), (3, 3, 2)]"
467,A_2^1+A_3^2+A_3^1,54,"[(2, 1, 1), (3, 2, 1), (3, 1, 1)]"
468,B_2^1+A_3^2+A_3^1,54,"[(2, 1, 2), (3, 2, 1), (3, 1, 1)]"
469,A_2^1+B_3^2+A_3^1,54,"[(2, 1, 1), (3, 2, 2), (3, 1, 1)]"
470,B_2^1+B_3^2+A_3^1,54,"[(2, 1, 2), (3, 2, 2), (3, 1, 1)]"
471,A_2^1+A_3^2+B_3^1,54,"[(2, 1, 1), (3, 2, 1), (3, 1, 2)]"
472,B_2^1+A_3^2+B_3^1,54,"[(2, 1, 2), (3, 2, 1), (3, 1, 2)]"
473,A_2^1+B_3^2+B_3^1,54,"[(2, 1, 1), (3, 2, 2), (3, 1, 2)]"
474,B_2^1+B_3^2+B_3^1,54,"[(2, 1, 2), (3, 2, 2), (3, 1, 2)]"
475,A_2^1+A_3^1+A_3^1+A_3^1,54,"[(2, 1, 1), (3, 1, 1), (3, 1, 1), (3, 1, 1)]"
476,B_2^1+A_3^1+A_3^1+A_3^1,54,"[(2, 1, 2), (3, 1, 1), (3, 1, 1), (3, 1, 1)]"
477,A_2^1+A_3^1+A_3^1+B_3^1,54,"[(2, 1, 1), (3, 1, 1), (3, 1, 1), (3, 1, 2)]"
478,B_2^1+A_3^1+A_3^1+B_3^1,54,"[(2, 1, 2), (3, 1, 1), (3, 1, 1), (3, 1, 2)]"
479,A_5^1+A_11^1,55,"[(5, 1, 1), (11, 1, 1)]"
480,B_5^1+A_11^1,55,"[(5, 1, 2), (11, 1, 1)]"
481,A_5^1+B_11^1,55,"[(5, 1, 1), (11, 1, 2)]"
482,B_5^1+B_11^1,55,"[(5, 1, 2), (11, 1, 2)]"
483,A_2^3+A_7^1,56,"[(2, 3, 1), (7, 1, 1)]"
484,B_2^3+A_7^1,56,"[(2, 3, 2), (7, 1, 1)]"
485,C_2^3+A_7^1,56,"[(2, 3, 3), (7, 1, 1)]"
486,D_2^3+A_7^1,56,"[(2, 3, 4), (7, 1, 1)]"
487,A_2^3+B_7^1,56,"[(2, 3, 1), (7, 1, 2)]"
488,B_2^3+B_7^1,56,"[(2, 3, 2), (7, 1, 2)]"
489,C_2^3+B_7^1,56,"[(2, 3, 3), (7, 1, 2)]"
490,D_2^3+B_7^1,56,"[(2, 3, 4), (7, 1, 2)]"
491,A_2^2+A_2^1+A_7^1,56,"[(2, 2, 1), (2, 1, 1), (7, 1, 1)]"
492,B_2^2+A_2^1+A_7^1,56,"[(2, 2, 2), (2, 1, 1), (7, 1, 1)]"
493,C_2^2+A_2^1+A_7^1,56,"[(2, 2, 3), (2, 1, 1), (7, 1, 1)]"
494,D_2^2+A_2^1+A_7^1,56,"[(2, 2, 4), (2, 1, 1), (7, 1, 1)]"
495,A_2^2+A_2^1+B_7^1,56,"[(2, 2, 1), (2, 1, 1), (7, 1, 2)]"
496,B_2^2+A_2^1+B_7^1,56,"[(2, 2, 2), (2, 1, 1), (7, 1, 2)]"
497,C_2^2+A_2^1+B_7^1,56,"[(2, 2, 3), (2, 1, 1), (7, 1, 2)]"
498,D_2^2+A_2^1+B_7^1,56,"[(2, 2, 4), (2, 1, 1), (7, 1, 2)]"
499,A_2^1+A_2^1+A_2^1+A_7^1,56,"[(2, 1, 1), (2, 1, 1), (2, 1, 1), (7, 1, 1)]"
500,A_2^1+A_2^1+B_2^1+A_7^1,56,"[(2, 1, 1), (2, 1, 1), (2, 1, 2), (7, 1, 1)]"
501,A_2^1+B_2^1+B_2^1+A_7^1,56,"[(2, 1, 1), (2, 1, 2), (2, 1, 2), (7, 1, 1)]"
502,B_2^1+B_2^1+B_2^1+A_7^1,56,"[(2, 1, 2), (2, 1, 2), (2, 1, 2), (7, 1, 1)]"
503,A_2^1+A_2^1+A_2^1+B_7^1,56,"[(2, 1, 1), (2, 1, 1), (2, 1, 1), (7, 1, 2)]"
504,A_2^1+A_2^1+B_2^1+B_7^1,56,"[(2, 1, 1), (2, 1, 1), (2, 1, 2), (7, 1, 2)]"
505,A_2^1+B_2^1+B_2^1+B_7^1,56,"[(2, 1, 1), (2, 1, 2), (2, 1, 2), (7, 1, 2)]"
506,B_2^1+B_2^1+B_2^1+B_7^1,56,"[(2, 1, 2), (2, 1, 2), (2, 1, 2), (7, 1, 2)]"
507,A_3^1+A_19^1,57,"[(3, 1, 1), (19, 1, 1)]"
508,B_3^1+A_19^1,57,"[(3, 1, 2), (19, 1, 1)]"
509,A_3^1+B_19^1,57,"[(3, 1, 1), (19, 1, 2)]"
510,B_3^1+B_19^1,57,"[(3, 1, 2), (19, 1, 2)]"
511,A_2^1+A_29^1,58,"[(2, 1, 1), (29, 1, 1)]"
512,B_2^1+A_29^1,58,"[(2, 1, 2), (29, 1, 1)]"
513,A_2^1+B_29^1,58,"[(2, 1, 1), (29, 1, 2)]"
514,B_2^1+B_29^1,58,"[(2, 1, 2), (29, 1, 2)]"
515,A_59^1,59,"[(59, 1, 1)]"
516,B_59^1,59,"[(59, 1, 2)]"
517,A_2^2+A_3^1+A_5^1,60,"[(2, 2, 1), (3, 1, 1), (5, 1, 1)]"
518,B_2^2+A_3^1+A_5^1,60,"[(2, 2, 2), (3, 1, 1), (5, 1, 1)]"
519,C_2^2+A_3^1+A_5^1,60,"[(2, 2, 3), (3, 1, 1), (5, 1, 1)]"
520,D_2^2+A_3^1+A_5^1,60,"[(2, 2, 4), (3, 1, 1), (5, 1, 1)]"
521,A_2^2+B_3^1+A_5^1,60,"[(2, 2, 1), (3, 1, 2), (5, 1, 1)]"
522,B_2^2+B_3^1+A_5^1,60,"[(2, 2, 2), (3, 1, 2), (5, 1, 1)]"
523,C_2^2+B_3^1+A_5^1,60,"[(2, 2, 3), (3, 1, 2), (5, 1, 1)]"
524,D_2^2+B_3^1+A_5^1,60,"[(2, 2, 4), (3, 1, 2), (5, 1, 1)]"
525,A_2^2+A_3^1+B_5^1,60,"[(2, 2, 1), (3, 1, 1), (5, 1, 2)]"
526,B_2^2+A_3^1+B_5^1,60,"[(2, 2, 2), (3, 1, 1), (5, 1, 2)]"
527,C_2^2+A_3^1+B_5^1,60,"[(2, 2, 3), (3, 1, 1), (5, 1, 2)]"
528,D_2^2+A_3^1+B_5^1,60,"[(2, 2, 4), (3, 1, 1), (5, 1, 2)]"
529,A_2^2+B_3^1+B_5^1,60,"[(2, 2, 1), (3, 1, 2), (5, 1, 2)]"
530,B_2^2+B_3^1+B_5^1,60,"[(2, 2, 2), (3, 1, 2), (5, 1, 2)]"
531,C_2^2+B_3^1+B_5^1,60,"[(2, 2, 3), (3, 1, 2), (5, 1, 2)]"
532,D_2^2+B_3^1+B_5^1,60,"[(2, 2, 4), (3, 1, 2), (5, 1, 2)]"
533,A_2^1+A_2^1+A_3^1+A_5^1,60,"[(2, 1, 1), (2, 1, 1), (3, 1, 1), (5, 1, 1)]"
534,A_2^1+B_2^1+A_3^1+A_5^1,60,"[(2, 1, 1), (2, 1, 2), (3, 1, 1), (5, 1, 1)]"
535,B_2^1+B_2^1+A_3^1+A_5^1,60,"[(2, 1, 2), (2, 1, 2), (3, 1, 1), (5, 1, 1)]"
536,E_2^1+A_3^1+A_5^1,60,"[(2, 1, 5), (3, 1, 1), (5, 1, 1)]"
537,F_2^1+A_3^1+A_5^1,60,"[(2, 1, 6), (3, 1, 1), (5, 1, 1)]"
538,A_2^1+A_2^1+B_3^1+A_5^1,60,"[(2, 1, 1), (2, 1, 1), (3, 1, 2), (5, 1, 1)]"
539,A_2^1+B_2^1+B_3^1+A_5^1,60,"[(2, 1, 1), (2, 1, 2), (3, 1, 2), (5, 1, 1)]"
540,B_2^1+B_2^1+B_3^1+A_5^1,60,"[(2, 1, 2), (2, 1, 2), (3, 1, 2), (5, 1, 1)]"
541,E_2^1+B_3^1+A_5^1,60,"[(2, 1, 5), (3, 1, 2), (5, 1, 1)]"
542,F_2^1+B_3^1+A_5^1,60,"[(2, 1, 6), (3, 1, 2), (5, 1, 1)]"
543,A_2^1+A_2^1+A_3^1+B_5^1,60,"[(2, 1, 1), (2, 1, 1), (3, 1, 1), (5, 1, 2)]"
544,A_2^1+B_2^1+A_3^1+B_5^1,60,"[(2, 1, 1), (2, 1, 2), (3, 1, 1), (5, 1, 2)]"
545,B_2^1+B_2^1+A_3^1+B_5^1,60,"[(2, 1, 2), (2, 1, 2), (3, 1, 1), (5, 1, 2)]"
546,E_2^1+A_3^1+B_5^1,60,"[(2, 1, 5), (3, 1, 1), (5, 1, 2)]"
547,F_2^1+A_3^1+B_5^1,60,"[(2, 1, 6), (3, 1, 1), (5, 1, 2)]"
548,A_2^1+A_2^1+B_3^1+B_5^1,60,"[(2, 1, 1), (2, 1, 1), (3, 1, 2), (5, 1, 2)]"
549,A_2^1+B_2^1+B_3^1+B_5^1,60,"[(2, 1, 1), (2, 1, 2), (3, 1, 2), (5, 1, 2)]"
550,B_2^1+B_2^1+B_3^1+B_5^1,60,"[(2, 1, 2), (2, 1, 2), (3, 1, 2), (5, 1, 2)]"
551,E_2^1+B_3^1+B_5^1,60,"[(2, 1, 5), (3, 1, 2), (5, 1, 2)]"
552,F_2^1+B_3^1+B_5^1,60,"[(2, 1, 6), (3, 1, 2), (5, 1, 2)]"
553,A_61^1,61,"[(61, 1, 1)]"
554,B_61^1,61,"[(61, 1, 2)]"
555,A_2^1+A_31^1,62,"[(2, 1, 1), (31, 1, 1)]"
556,B_2^1+A_31^1,62,"[(2, 1, 2), (31, 1, 1)]"
557,A_2^1+B_31^1,62,"[(2, 1, 1), (31, 1, 2)]"
558,B_2^1+B_31^1,62,"[(2, 1, 2), (31, 1, 2)]"
559,A_3^2+A_7^1,63,"[(3, 2, 1), (7, 1, 1)]"
560,B_3^2+A_7^1,63,"[(3, 2, 2), (7, 1, 1)]"
561,A_3^2+B_7^1,63,"[(3, 2, 1), (7, 1, 2)]"
562,B_3^2+B_7^1,63,"[(3, 2, 2), (7, 1, 2)]"
563,A_3^1+A_3^1+A_7^1,63,"[(3, 1, 1), (3, 1, 1), (7, 1, 1)]"
564,A_3^1+A_3^1+B_7^1,63,"[(3, 1, 1), (3, 1, 1), (7, 1, 2)]"
565,A_2^6,64,"[(2, 6, 1)]"
566,B_2^6,64,"[(2, 6, 2)]"
567,C_2^6,64,"[(2, 6, 3)]"
568,D_2^6,64,"[(2, 6, 4)]"
569,A_2^5+A_2^1,64,"[(2, 5, 1), (2, 1, 1)]"
570,B_2^5+A_2^1,64,"[(2, 5, 2), (2, 1, 1)]"
571,C_2^5+A_2^1,64,"[(2, 5, 3), (2, 1, 1)]"
572,D_2^5+A_2^1,64,"[(2, 5, 4), (2, 1, 1)]"
573,A_2^5+B_2^1,64,"[(2, 5, 1), (2, 1, 2)]"
574,B_2^5+B_2^1,64,"[(2, 5, 2), (2, 1, 2)]"
575,C_2^5+B_2^1,64,"[(2, 5, 3), (2, 1, 2)]"
576,D_2^5+B_2^1,64,"[(2, 5, 4), (2, 1, 2)]"
577,A_2^4+A_2^2,64,"[(2, 4, 1), (2, 2, 1)]"
578,B_2^4+A_2^2,64,"[(2, 4, 2), (2, 2, 1)]"
579,C_2^4+A_2^2,64,"[(2, 4, 3), (2, 2, 1)]"
580,D_2^4+A_2^2,64,"[(2, 4, 4), (2, 2, 1)]"
581,A_2^4+B_2^2,64,"[(2, 4, 1), (2, 2, 2)]"
582,B_2^4+B_2^2,64,"[(2, 4, 2), (2, 2, 2)]"
583,C_2^4+B_2^2,64,"[(2, 4, 3), (2, 2, 2)]"
584,D_2^4+B_2^2,64,"[(2, 4, 4), (2, 2, 2)]"
585,A_2^4+A_2^1+A_2^1,64,"[(2, 4, 1), (2, 1, 1), (2, 1, 1)]"
586,B_2^4+A_2^1+A_2^1,64,"[(2, 4, 2), (2, 1, 1), (2, 1, 1)]"
587,C_2^4+A_2^1+A_2^1,64,"[(2, 4, 3), (2, 1, 1), (2, 1, 1)]"
588,D_2^4+A_2^1+A_2^1,64,"[(2, 4, 4), (2, 1, 1), (2, 1, 1)]"
589,A_2^4+A_2^1+B_2^1,64,"[(2, 4, 1), (2, 1, 1), (2, 1, 2)]"
