,name,group_order,prd_tuples
90,A_2^2+E_2^1,16,"[(2, 2, 1), (2, 1, 5)]"
91,B_2^2+E_2^1,16,"[(2, 2, 2), (2, 1, 5)]"
92,C_2^2+E_2^1,16,"[(2, 2, 3), (2, 1, 5)]"
93,D_2^2+E_2^1,16,"[(2, 2, 4), (2, 1, 5)]"
94,A_2^1+A_2^1+A_2^1+A_2^1,16,"[(2, 1, 1), (2, 1, 1), (2, 1, 1), (2, 1, 1)]"
95,A_2^1+A_2^1+A_2^1+B_2^1,16,"[(2, 1, 1), (2, 1, 1), (2, 1, 1), (2, 1, 2)]"
96,A_2^1+A_2^1+B_2^1+B_2^1,16,"[(2, 1, 1), (2, 1, 1), (2, 1, 2), (2, 1, 2)]"
97,A_2^1+B_2^1+B_2^1+B_2^1,16,"[(2, 1, 1), (2, 1, 2), (2, 1, 2), (2, 1, 2)]"
98,E_2^1+E_2^1,16,"[(2, 1, 5), (2, 1, 5)]"
99,E_2^1+F_2^1,16,"[(2, 1, 5), (2, 1, 6)]"
100,A_17^1,17,"[(17, 1, 1)]"
101,B_17^1,17,"[(17, 1, 2)]"
102,A_2^1+A_3^2,18,"[(2, 1, 1), (3, 2, 1)]"
103,B_2^1+A_3^2,18,"[(2, 1, 2), (3, 2, 1)]"
104,A_2^1+B_3^2,18,"[(2, 1, 1), (3, 2, 2)]"
105,B_2^1+B_3^2,18,"[(2, 1, 2), (3, 2, 2)]"
106,A_2^1+A_3^1+A_3^1,18,"[(2, 1, 1), (3, 1, 1), (3, 1, 1)]"
107,B_2^1+A_3^1+A_3^1,18,"[(2, 1, 2), (3, 1, 1), (3, 1, 1)]"
108,A_19^1,19,"[(19, 1, 1)]"
109,B_19^1,19,"[(19, 1, 2)]"
110,A_2^2+A_5^1,20,"[(2, 2, 1), (5, 1, 1)]"
111,B_2^2+A_5^1,20,"[(2, 2, 2), (5, 1, 1)]"
112,C_2^2+A_5^1,20,"[(2, 2, 3), (5, 1, 1)]"
113,D_2^2+A_5^1,20,"[(2, 2, 4), (5, 1, 1)]"
114,A_2^2+B_5^1,20,"[(2, 2, 1), (5, 1, 2)]"
115,B_2^2+B_5^1,20,"[(2, 2, 2), (5, 1, 2)]"
116,C_2^2+B_5^1,20,"[(2, 2, 3), (5, 1, 2)]"
117,D_2^2+B_5^1,20,"[(2, 2, 4), (5, 1, 2)]"
118,A_2^1+A_2^1+A_5^1,20,"[(2, 1, 1), (2, 1, 1), (5, 1, 1)]"
119,A_2^1+B_2^1+A_5^1,20,"[(2, 1, 1), (2, 1, 2), (5, 1, 1)]"
120,B_2^1+B_2^1+A_5^1,20,"[(2, 1, 2), (2, 1, 2), (5, 1, 1)]"
121,E_2^1+A_5^1,20,"[(2, 1, 5), (5, 1, 1)]"
122,F_2^1+A_5^1,20,"[(2, 1, 6), (5, 1, 1)]"
123,A_2^1+A_2^1+B_5^1,20,"[(2, 1, 1), (2, 1, 1), (5, 1, 2)]"
124,A_2^1+B_2^1+B_5^1,20,"[(2, 1, 1), (2, 1, 2), (5, 1, 2)]"
125,B_2^1+B_2^1+B_5^1,20,"[(2, 1, 2), (2, 1, 2), (5, 1, 2)]"
126,E_2^1+B_5^1,20,"[(2, 1, 5), (5, 1, 2)]"
127,F_2^1+B_5^1,20,"[(2, 1, 6), (5, 1, 2)]"
128,A_3^1+A_7^1,21,"[(3, 1, 1), (7, 1, 1)]"
129,B_3^1+A_7^1,21,"[(3, 1, 2), (7, 1, 1)]"
130,A_3^1+B_7^1,21,"[(3, 1, 1), (7, 1, 2)]"
131,B_3^1+B_7^1,21,"[(3, 1, 2), (7, 1, 2)]"
132,A_2^1+A_11^1,22,"[(2, 1, 1), (11, 1, 1)]"
133,B_2^1+A_11^1,22,"[(2, 1, 2), (11, 1, 1)]"
134,A_2^1+B_11^1,22,"[(2, 1, 1), (11, 1, 2)]"
135,B_2^1+B_11^1,22,"[(2, 1, 2), (11, 1, 2)]"
136,A_23^1,23,"[(23, 1, 1)]"
137,B_23^1,23,"[(23, 1, 2)]"
138,A_2^3+A_3^1,24,"[(2, 3, 1), (3, 1, 1)]"
139,B_2^3+A_3^1,24,"[(2, 3, 2), (3, 1, 1)]"
140,C_2^3+A_3^1,24,"[(2, 3, 3), (3, 1, 1)]"
141,D_2^3+A_3^1,24,"[(2, 3, 4), (3, 1, 1)]"
142,A_2^3+B_3^1,24,"[(2, 3, 1), (3, 1, 2)]"
143,B_2^3+B_3^1,24,"[(2, 3, 2), (3, 1, 2)]"
144,C_2^3+B_3^1,24,"[(2, 3, 3), (3, 1, 2)]"
145,D_2^3+B_3^1,24,"[(2, 3, 4), (3, 1, 2)]"
146,A_2^2+A_2^1+A_3^1,24,"[(2, 2, 1), (2, 1, 1), (3, 1, 1)]"
147,B_2^2+A_2^1+A_3^1,24,"[(2, 2, 2), (2, 1, 1), (3, 1, 1)]"
148,C_2^2+A_2^1+A_3^1,24,"[(2, 2, 3), (2, 1, 1), (3, 1, 1)]"
149,D_2^2+A_2^1+A_3^1,24,"[(2, 2, 4), (2, 1, 1), (3, 1, 1)]"
150,A_2^2+A_2^1+B_3^1,24,"[(2, 2, 1), (2, 1, 1), (3, 1, 2)]"
151,B_2^2+A_2^1+B_3^1,24,"[(2, 2, 2), (2, 1, 1), (3, 1, 2)]"
152,C_2^2+A_2^1+B_3^1,24,"[(2, 2, 3), (2, 1, 1), (3, 1, 2)]"
153,D_2^2+A_2^1+B_3^1,24,"[(2, 2, 4), (2, 1, 1), (3, 1, 2)]"
154,A_2^1+A_2^1+A_2^1+A_3^1,24,"[(2, 1, 1), (2, 1, 1), (2, 1, 1), (3, 1, 1)]"
